,Samlpe,Type,MSI.score,Genes
31,TCGA-OR-A5JZ-01,ACC,0.416947804909838,5.670482848628
32,TCGA-OR-A5K0-01,ACC,0.364124146720622,7.35091783182607
33,TCGA-OR-A5K1-01,ACC,0.401739674793482,6.50186860857057
34,TCGA-OR-A5K2-01,ACC,0.339023333372754,7.40572497405013
35,TCGA-OR-A5K3-01,ACC,0.410558198142582,5.51996623345054
36,TCGA-OR-A5K4-01,ACC,0.406971970816723,6.30032194078924
37,TCGA-OR-A5K5-01,ACC,0.363114994589318,8.17997024828256
38,TCGA-OR-A5K6-01,ACC,0.354113592492377,7.92092612585617
39,TCGA-OR-A5K8-01,ACC,0.394733630019807,6.11734920325905
40,TCGA-OR-A5K9-01,ACC,0.371726121906207,8.65963557719479
41,TCGA-OR-A5KO-01,ACC,0.393306360352653,8.05233394062377
42,TCGA-OR-A5KT-01,ACC,0.353549135722044,6.408778118718
43,TCGA-OR-A5KU-01,ACC,0.377623537635727,7.14273661318419
44,TCGA-OR-A5KV-01,ACC,0.363339311629479,7.36689935906492
45,TCGA-OR-A5KW-01,ACC,0.40261304298717,7.08129792307208
46,TCGA-OR-A5KX-01,ACC,0.358846330605099,6.76212315929681
47,TCGA-OR-A5KY-01,ACC,0.3965979315749,7.35615271090593
48,TCGA-OR-A5KZ-01,ACC,0.412944073368718,8.27636554836844
49,TCGA-OR-A5L3-01,ACC,0.362329610171569,4.85351322053475
50,TCGA-OR-A5L4-01,ACC,0.384491944414584,6.65809579711593
51,TCGA-OR-A5L5-01,ACC,0.379177328890808,5.64424708575721
52,TCGA-OR-A5L6-01,ACC,0.413594082409175,5.9241823785995
53,TCGA-OR-A5L8-01,ACC,0.393855477339029,8.23295993498719
54,TCGA-OR-A5L9-01,ACC,0.3965979315749,2.71816611602608
55,TCGA-OR-A5LA-01,ACC,0.365916453858061,5.50776993062888
56,TCGA-OR-A5LB-01,ACC,0.611266825073065,7.76288084336616
57,TCGA-OR-A5LC-01,ACC,0.370722275148167,8.30163037517553
58,TCGA-OR-A5LD-01,ACC,0.367482898138868,4.71592068837284
59,TCGA-OR-A5LE-01,ACC,0.359071312288344,8.21583215317993
60,TCGA-OR-A5LG-01,ACC,0.362666255848254,6.90505079635862
61,TCGA-OR-A5LH-01,ACC,0.397474417045898,7.20052182388796
62,TCGA-OR-A5LJ-01,ACC,0.599889044959259,8.05115682009803
63,TCGA-OR-A5LK-01,ACC,0.366028399157119,5.18190354797954
64,TCGA-OR-A5LL-01,ACC,0.369382725338941,6.45077441513064
65,TCGA-OR-A5LM-01,ACC,0.405883472922256,6.52685094052797
66,TCGA-OR-A5LN-01,ACC,0.365580565833365,5.30995399987401
67,TCGA-OR-A5LO-01,ACC,0.401958066413773,7.68042283564297
68,TCGA-OR-A5LP-01,ACC,0.38272258035299,6.12970972774242
69,TCGA-OR-A5LR-01,ACC,0.394075065625738,5.73090999297978
70,TCGA-OR-A5LS-01,ACC,0.3928669162308,7.38020865659322
71,TCGA-OR-A5LT-01,ACC,0.410775259008242,5.774259308802
72,TCGA-OU-A5PI-01,ACC,0.38316512484753,7.92492425577865
73,TCGA-P6-A5OF-01,ACC,0.399772661101706,7.70457885110873
74,TCGA-P6-A5OG-01,ACC,0.378289653095451,6.76139292008955
75,TCGA-PA-A5YG-01,ACC,0.377068206384061,6.46791813857131
