,Samlpe,Type,TMB.score,Genes
286,TCGA-FD-A6TK-01,BLCA,3.1834243215,7.48764180301255
287,TCGA-FJ-A3Z7-01,BLCA,8.1147476322,6.19443520210412
288,TCGA-FJ-A3Z9-01,BLCA,1.7984455136,6.83967277631908
289,TCGA-FJ-A3ZE-01,BLCA,10.648992985,7.11948467975086
290,TCGA-FJ-A3ZF-01,BLCA,6.0118517987,8.39945503756192
291,TCGA-FJ-A871-01,BLCA,1.2359971938,7.09879380044973
292,TCGA-FT-A3EE-01,BLCA,3.277963123,7.83112918264524
293,TCGA-FT-A61P-01,BLCA,4.0733292872,7.17698957063563
294,TCGA-G2-A2EC-01,BLCA,4.8912378739,6.27424003148764
295,TCGA-G2-A2EF-01,BLCA,6.7583889752,7.43753677731852
296,TCGA-G2-A2EJ-01,BLCA,8.2307737816,7.07506493320365
297,TCGA-G2-A2EK-01,BLCA,1.7970794983,6.11740169273067
298,TCGA-G2-A2EL-01,BLCA,5.9598079447,7.77226021768506
299,TCGA-G2-A2EO-01,BLCA,21.372294396,7.61890729223872
300,TCGA-G2-A2ES-01,BLCA,11.06339922,6.91609997465396
301,TCGA-G2-A3IB-01,BLCA,2.5938744249,6.31344243828718
302,TCGA-G2-A3IE-01,BLCA,9.8148893295,6.47299762609194
303,TCGA-G2-A3VY-01,BLCA,19.288767306,7.47978991278168
304,TCGA-G2-AA3B-01,BLCA,19.387039239,6.74315032673999
305,TCGA-G2-AA3C-01,BLCA,6.475714498,6.94828738741924
306,TCGA-G2-AA3D-01,BLCA,6.2173670139,7.18864055485767
307,TCGA-G2-AA3F-01,BLCA,4.0696297904,7.77272303763845
308,TCGA-GC-A3BM-01,BLCA,3.1420946014,7.40876058729101
309,TCGA-GC-A3I6-01,BLCA,4.8971808975,7.64898459347962
310,TCGA-GC-A3OO-01,BLCA,3.2065058212,7.11006765726517
311,TCGA-GC-A3RB-01,BLCA,4.0303865884,7.98868221397371
312,TCGA-GC-A3RC-01,BLCA,8.6385130475,7.27350393915464
313,TCGA-GC-A3RD-01,BLCA,2.1312847959,8.36398338633938
314,TCGA-GC-A3WC-01,BLCA,3.8001272589,7.10721515502424
315,TCGA-GC-A3YS-01,BLCA,5.8057365654,7.96169666065275
316,TCGA-GC-A4ZW-01,BLCA,18.148037093,7.97727374108615
317,TCGA-GC-A6I1-01,BLCA,5.6856409686,6.82728470219857
318,TCGA-GC-A6I3-01,BLCA,5.5850585205,7.1336719522878
319,TCGA-GD-A2C5-01,BLCA,6.747629608,7.31449064625968
320,TCGA-GD-A3OP-01,BLCA,8.8476262692,6.56977544803889
321,TCGA-GD-A3OQ-01,BLCA,2.930613684,7.27717905990913
322,TCGA-GD-A3OS-01,BLCA,2.5221264942,7.47394400011802
323,TCGA-GD-A6C6-01,BLCA,6.5546424606,6.49592544086936
324,TCGA-GD-A76B-01,BLCA,5.1702834399,6.44720674144232
325,TCGA-GU-A42P-01,BLCA,6.6201230038,7.45341712859486
326,TCGA-GU-A42Q-01,BLCA,4.8646231507,8.00143915671705
327,TCGA-GU-A42R-01,BLCA,3.6444995675,7.18081046705276
328,TCGA-GU-A762-01,BLCA,2.6769671495,6.87767669396349
329,TCGA-GU-A763-01,BLCA,1.7572466054,6.99436525308256
330,TCGA-GU-A764-01,BLCA,2.9412566461,6.87006366430503
331,TCGA-GU-A766-01,BLCA,4.9719608158,7.15640680555496
332,TCGA-GU-A767-01,BLCA,10.753066149,7.73068267271701
333,TCGA-GU-AATO-01,BLCA,8.4715304362,5.97171329413508
334,TCGA-GU-AATP-01,BLCA,8.5858014737,6.96004253033743
335,TCGA-GU-AATQ-01,BLCA,4.4634384356,7.39799626177515
336,TCGA-GV-A3JV-01,BLCA,2.9578367613,6.96873879645185
337,TCGA-GV-A3JW-01,BLCA,2.2002854121,8.2786111778861
